METRIC_CODE,WEIGHT
POCPCT,1
LWINCPCT,1
LESHSPCT,1
LNGISPCT,1
OZONE,0.5
PTRAF,1
PTSDF,1
PM25,0.5
PWDIS,1
IMPER,0.5
TREE,0.5
FLOOD,1
HEAT,1
